full_name,rating,draft_year,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age
Aaron Gordon,81,2014,2.850071429,9,28
Aaron Holiday,73,2018,2.850071429,5,27
Abdel Nader,70,2016,2.850071429,7,30
Admiral Schofield,71,2019,2.850071429,4,26
Al Horford,85,2007,0.253,16,37
Alec Burks,73,2011,2.850071429,12,32
Alen Smailagic,71,2019,2.850071429,4,23
Alex Caruso,73,2016,2.850071429,7,29
Alex Len,77,2013,2.850071429,10,30
Al-Farouq Aminu,77,2010,2.850071429,13,33
Alfonzo McKinnie,72,2015,2.850071429,8,31
Alize Johnson,70,2018,2.850071429,5,27
Allen Crabbe,73,2013,2.850071429,10,31
Allonzo Trier,75,2018,2.850071429,5,27
Amile Jefferson,69,2017,2.850071429,6,30
Andre Drummond,86,2012,1.22,11,30
Andre Iguodala,78,2004,2.850071429,19,39
Andre Roberson,76,2013,2.850071429,10,32
Andrew Wiggins,79,2014,2.850071429,9,28
Anfernee Simons,72,2018,2.850071429,5,24
Ante Zizic,73,2016,2.850071429,7,26
Anthony Davis,94,2012,1.22,11,30
Anthony Davis,95,2012,1.22,11,30
Anthony Tolliver,72,2007,2.850071429,16,38
Antonio Blakeney,72,2017,2.850071429,6,27
Aron Baynes,75,2009,2.850071429,14,37
Austin Rivers,76,2012,2.850071429,11,31
Avery Bradley,76,2010,2.850071429,13,33
Bam Adebayo,79,2017,2.850071429,6,26
Ben McLemore,71,2013,2.850071429,10,30
Ben Simmons,87,2016,2.850071429,7,27
Bismack Biyombo,75,2011,2.850071429,12,31
Blake Griffin,88,2009,4.19,14,34
Boban Marjanovic,75,2010,0,13,35
Bobby Portis,78,2015,2.850071429,8,28
Bogdan Bogdanovic,78,2014,2.850071429,9,31
Bojan Bogdanovic,83,2011,2.850071429,12,34
Brad Wanamaker,73,2011,2.850071429,12,34
Bradley Beal,87,2012,0.276,11,30
Bradley Beal,88,2012,0.276,11,30
Brandon Clarke,73,2019,2.850071429,4,27
Brandon Goodwin,68,2018,2.850071429,5,28
Brandon Ingram,81,2016,2.850071429,7,26
Brandon Knight,72,2011,2.850071429,12,32
Brook Lopez,79,2008,0,15,35
Bruce Brown,73,2018,2.850071429,5,27
Bruno Fernando,71,2019,2.850071429,4,25
Bryn Forbes,75,2016,2.850071429,7,30
Buddy Hield,84,2016,2.850071429,7,30
Caleb Swanigan,70,2017,2.850071429,6,26
Cam Reynolds,69,2018,2.850071429,5,28
Cameron Johnson,72,2019,2.850071429,4,27
Cameron Payne,72,2015,2.850071429,8,29
Caris LeVert,78,2016,2.850071429,7,29
Carsen Edwards,71,2019,2.850071429,4,25
Cedi Osman,75,2015,2.850071429,8,28
Chandler Hutchison,72,2018,2.850071429,5,27
Chandler Parsons,74,2011,2.850071429,12,35
Cheick Diallo,74,2016,0.015,7,27
Chimezie Metu,71,2018,2.850071429,5,26
Chris Boucher,71,2017,2.850071429,6,30
Chris Paul,85,2005,6.4,18,38
Chris Paul,88,2005,6.4,18,38
Christian Wood,74,2015,2.850071429,8,28
Chuma Okeke,72,2019,2.850071429,4,25
CJ McCollum,87,2013,0.161,10,32
CJ Miles,73,2005,2.850071429,18,36
Clint Capela,85,2014,0.025,9,29
Coby White,76,2019,2.850071429,4,23
Cody Zeller,77,2013,2.850071429,10,31
Collin Sexton,77,2018,2.850071429,5,24
Cory Joseph,74,2011,2.850071429,12,32
Courtney Lee,72,2008,2.850071429,15,38
Cristiano Felicio,72,2014,2.850071429,9,31
Damian Lillard,92,2012,1.34,11,33
Damian Lillard,94,2012,1.34,11,33
Damian Lillard,94,2012,1.34,11,33
Damyean Dotson,75,2017,2.850071429,6,29
D'Angelo Russell,87,2015,2.850071429,8,27
Daniel Gafford,71,2019,2.850071429,4,25
Daniel Theis,76,2013,2.850071429,10,31
Danilo Gallinari,83,2008,0.711,15,35
Danny Green,77,2009,2.850071429,14,36
Danuel House,73,2016,2.850071429,7,30
Dario Saric,77,2014,2.850071429,9,29
Darius Bazley,70,2019,2.850071429,4,23
Darius Garland,77,2019,2.850071429,4,23
Darius Miller,72,2012,2.850071429,11,33
David Nwaba,73,2016,2.850071429,7,30
Davis Bertans,76,2011,2.850071429,12,31
De'Aaron Fox,86,2017,2.850071429,6,26
Deandre Ayton,82,2018,2.850071429,5,25
DeAndre Bembry,73,2016,2.850071429,7,29
De'Andre Hunter,77,2019,2.850071429,4,26
DeAndre Jordan,81,2008,0.984,15,35
De'Anthony Melton,72,2018,2.850071429,5,25
Dejounte Murray,78,2016,2.850071429,7,27
Delon Wright,76,2015,2.850071429,8,31
DeMar DeRozan,87,2009,0.58,14,34
DeMarcus Cousins,86,2010,0.826,13,33
DeMarre Carroll,77,2009,2.850071429,14,37
Dennis Schroeder,78,2013,2.850071429,10,30
Dennis Smith,77,2017,2.850071429,6,26
Denzel Valentine,74,2016,2.850071429,7,30
Deonte Burton,70,2014,2.850071429,9,32
Derrick Favors,80,2010,2.850071429,13,32
Derrick Jones,74,2016,2.850071429,7,26
Derrick Rose,80,2008,2.850071429,15,35
Derrick White,78,2017,2.850071429,6,29
Devin Booker,86,2015,2.850071429,8,27
Devonte Graham,69,2018,2.850071429,5,28
Dewayne Dedmon,76,2013,0.015,10,34
Deyonta Davis,71,2016,2.850071429,7,27
Dillon Brooks,74,2017,2.850071429,6,27
Dion Waiters,76,2012,2.850071429,11,32
DJ Augustin,76,2008,2.850071429,15,36
DJ Wilson,72,2017,2.850071429,6,27
Domantas Sabonis,81,2016,2.850071429,7,27
Donovan Mitchell,88,2017,2.850071429,6,27
Donovan Mitchell,88,2017,2.850071429,6,27
Donte DiVincenzo,72,2018,2.850071429,5,26
Dorian Finney-Smith,73,2016,2.850071429,7,30
Doug McDermott,74,2014,2.850071429,9,31
Draymond Green,86,2012,0.911,11,33
Duncan Robinson,67,2018,2.850071429,5,29
Dwayne Bacon,73,2017,2.850071429,6,28
Dwight Powell,77,2014,2.850071429,9,32
Dzanan Musa,71,2018,2.850071429,5,24
Ed Davis,77,2010,2.850071429,13,34
Edmond Sumner,71,2017,2.850071429,6,28
Elfrid Payton,76,2014,0.05,9,29
