full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS
Aaron Gordon,81,#0,Orlando Magic,F,9/16/1995,6-8 / 2.03,220 lbs. / 99.8 kg.,19863636,USA,2014,1,4,Arizona,NBA2k20,42.5,16,N/A
Aaron Holiday,73,#3,Indiana Pacers,G,9/30/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,2239200,USA,2018,1,23,UCLA,NBA2k20,N/A,N/A,N/A
Abdel Nader,70,#11,Oklahoma City Thunder,F,9/25/1993,6-5 / 1.96,225 lbs. / 102.1 kg.,1618520,Egypt,2016,2,58,Iowa State,NBA2k20,N/A,N/A,N/A
Admiral Schofield,71,#1,Washington Wizards,F,3/30/1997,6-5 / 1.96,241 lbs. / 109.3 kg.,1000000,USA,2019,2,42,Tennessee,NBA2k20,N/A,N/A,N/A
Al Horford,85,#42,Philadelphia 76ers,C-F,6/3/1986,6-9 / 2.06,246 lbs. / 111.6 kg.,28000000,Dominican Republic,2007,1,3,Florida,NBA2k20,136,71,0.253
Alec Burks,73,#0,Philadelphia 76ers,G,7/20/1991,6-6 / 1.98,195 lbs. / 88.5 kg.,2320044,USA,2011,1,12,Colorado,NBA2k20,10,15,N/A
Alen Smailagic,71,#6,Golden State Warriors,F,8/18/2000,6-10 / 2.08,215 lbs. / 97.5 kg.,898310,Serbia,2019,2,39,N/A,NBA2k20,N/A,N/A,N/A
Alex Caruso,73,#4,Los Angeles Lakers,G,2/28/1994,6-5 / 1.96,186 lbs. / 84.4 kg.,2750000,USA,2016,Undrafted,Undrafted,Texas A&M,NBA2k20,N/A,N/A,N/A
Alex Len,77,#0,Sacramento Kings,C,6/16/1993,7-0 / 2.13,225 lbs. / 102.1 kg.,4160000,Ukraine,2013,1,5,Maryland,NBA2k20,10.5,6,N/A
Al-Farouq Aminu,77,#2,Orlando Magic,F,9/21/1990,6-8 / 2.03,215 lbs. / 97.5 kg.,9258000,Nigeria,2010,1,8,Wake Forest,NBA2k20,33,9,N/A
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,9/17/1992,6-8 / 2.03,215 lbs. / 97.5 kg.,2391985,USA,2015,Undrafted,Undrafted,Green Bay,NBA2k20,N/A,N/A,N/A
Alize Johnson,70,#24,Indiana Pacers,F,4/26/1996,6-7 / 2.01,201 lbs. / 91.2 kg.,1416852,USA,2018,2,50,Missouri State,NBA2k20,N/A,N/A,N/A
Allen Crabbe,73,#0,Free agent,G-F,4/9/1992,6-5 / 1.96,197 lbs. / 89.4 kg.,17818456,USA,2013,2,31,California,NBA2k20,11.5,9,N/A
Allonzo Trier,75,#0,Free agent,G-F,1/17/1996,6-4 / 1.93,200 lbs. / 90.7 kg.,3551100,USA,2018,Undrafted,Undrafted,Arizona,NBA2k20,N/A,N/A,N/A
Amile Jefferson,69,#0,Free agent,F-C,5/7/1993,6-9 / 2.06,224 lbs. / 101.6 kg.,1529007,USA,2017,Undrafted,Undrafted,Duke,NBA2k20,N/A,N/A,N/A
Andre Drummond,86,#0,Cleveland Cavaliers,C,8/10/1993,6-10 / 2.08,270 lbs. / 122.5 kg.,27093018,USA,2012,1,9,UConn,NBA2k20,0,25,1.22
Andre Iguodala,78,#9,Miami Heat,G-F,1/28/1984,6-6 / 1.98,207 lbs. / 93.9 kg.,17185185,USA,2004,1,9,Arizona,NBA2k20,300.5,43,N/A
Andre Roberson,76,#21,Oklahoma City Thunder,G-F,12/4/1991,6-7 / 2.01,206 lbs. / 93.4 kg.,10740740,USA,2013,1,26,Colorado,NBA2k20,10,8,N/A
Andrew Wiggins,79,#22,Golden State Warriors,F,2/23/1995,6-7 / 2.01,197 lbs. / 89.4 kg.,27504630,Canada,2014,1,1,Kansas,NBA2k20,182,54.5,N/A
Anfernee Simons,72,#1,Portland Trail Blazers,G,6/8/1999,6-3 / 1.91,181 lbs. / 82.1 kg.,2149560,USA,2018,1,24,N/A,NBA2k20,N/A,N/A,N/A
Ante Zizic,73,#41,Cleveland Cavaliers,C,1/4/1997,6-10 / 2.08,250 lbs. / 113.4 kg.,2281800,Croatia,2016,1,23,N/A,NBA2k20,N/A,N/A,N/A
Anthony Davis,94,#3,Los Angeles Lakers,F-C,3/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,27093019,USA,2012,1,1,Kentucky,NBA2k20,368,104,1.22
Anthony Davis,95,#3,Los Angeles Lakers,F-C,3/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,32742000,USA,2012,1,1,Kentucky,NBA2k21,368,104,1.22
Anthony Tolliver,72,#0,Memphis Grizzlies,F,6/1/1985,6-8 / 2.03,240 lbs. / 108.9 kg.,2854556,USA,2007,Undrafted,Undrafted,Creighton,NBA2k20,11,2,N/A
Antonio Blakeney,72,#0,Free agent,G-F,10/4/1996,6-4 / 1.93,197 lbs. / 89.4 kg.,1488231,USA,2017,Undrafted,Undrafted,LSU,NBA2k20,N/A,N/A,N/A
Aron Baynes,75,#46,Phoenix Suns,C,12/9/1986,6-10 / 2.08,260 lbs. / 117.9 kg.,5453280,Australia,2009,Undrafted,Undrafted,Washington State,NBA2k20,N/A,N/A,N/A
