Player,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,salaries
Aaron Gordon,76,60,74,70,97,85,71,67,72,92,95,90,84,85,95,95,58,60,72,74,95,55,62,66,60,60,78,79,40,52,74,75,68,70,52,74,"$19,863,636.00 "
Al Horford,70,90,75,73,86,65,53,48,91,69,95,85,78,65,80,61,85,85,85,40,84,75,50,33,88,66,90,63,42,65,67,92,70,90,50,68,"$28,000,000.00 "
Andre Drummond,76,47,60,64,62,70,60,58,95,79,89,90,81,80,95,85,80,55,80,45,85,52,45,49,70,54,84,52,87,80,52,84,80,75,90,97,"$27,093,018.00 "
Andrew Wiggins,85,71,77,72,66,95,82,85,57,98,98,92,83,88,40,94,45,70,55,70,95,66,79,80,75,67,55,66,37,60,82,72,75,55,41,56,"$27,504,630.00 "
Anthony Davis,90,72,74,86,90,98,79,78,87,86,97,98,78,94,95,86,93,93,89,90,95,60,65,67,72,60,97,73,63,89,71,97,82,95,75,81,"$27,093,019.00 "
Bam Adebayo,91,78,56,68,97,95,70,69,84,85,95,93,90,79,90,80,76,68,78,84,95,64,60,59,74,71,85,69,49,72,69,86,75,85,75,85,"$3,454,080.00 "
Ben Simmons,80,46,47,63,98,98,93,84,80,85,97,97,83,96,83,87,76,73,79,96,98,75,87,84,89,79,80,88,90,53,75,88,85,90,55,69,"$8,113,929.00 "
Blake Griffin,75,45,61,78,80,70,68,71,94,90,95,95,88,78,98,93,74,74,85,72,98,75,75,66,74,66,78,59,33,51,65,72,70,65,43,62,"$34,449,964.00 "
Bojan Bogdanovic,75,68,85,90,90,95,67,62,60,72,87,85,84,73,40,70,49,60,64,64,70,69,74,66,72,39,54,78,35,32,79,75,62,70,35,52,"$17,000,000.00 "
Bradley Beal,85,87,80,83,98,98,76,83,56,87,98,78,82,94,30,75,55,55,44,90,81,77,86,76,85,74,45,74,41,47,75,75,65,65,39,52,"$27,093,018.00 "
Brandon Clarke,95,88,83,78,78,80,82,83,64,82,90,95,80,68,80,80,66,65,64,60,85,59,69,65,62,39,78,75,75,72,78,78,72,70,59,78,"$2,478,840.00 "
Brandon Ingram,85,79,84,87,95,98,71,78,42,77,89,80,85,82,65,75,64,76,62,60,80,75,78,70,70,70,61,69,41,57,72,75,68,40,47,68,"$7,265,485.00 "
Brook Lopez,92,81,72,86,70,75,25,25,83,60,92,80,79,70,80,60,86,80,89,72,80,35,35,25,78,34,84,45,38,95,25,89,69,75,45,59,"$12,093,024.00 "
Buddy Hield,72,89,85,82,97,90,75,78,41,78,90,60,82,85,25,30,28,45,48,77,94,75,83,74,70,61,48,69,40,47,74,54,60,50,41,61,"$4,861,207.00 "
C.J. McCollum,88,88,82,80,80,90,82,84,60,80,98,95,80,80,30,40,38,46,32,69,91,75,86,82,80,64,35,68,37,55,76,69,50,60,34,48,#N/A
Chris Paul,95,97,80,91,90,85,80,80,62,75,88,75,77,85,25,27,40,55,75,55,90,88,90,80,88,77,61,91,73,35,90,82,95,90,31,65,"$38,506,482.00 "
Clint Capela,73,60,25,54,95,85,58,57,85,80,92,97,83,82,95,80,71,48,69,74,70,34,48,30,35,31,84,53,40,83,60,86,74,80,88,92,"$16,896,552.00 "
Collin Sexton,84,84,82,85,75,95,89,89,68,84,95,75,81,85,30,75,25,38,28,68,75,80,86,88,76,54,55,63,43,32,78,60,69,45,42,43,"$4,764,960.00 "
D’Angelo Russell,81,93,82,77,90,85,81,81,54,71,88,65,83,89,25,45,35,55,60,75,81,82,86,81,88,81,40,64,42,42,75,59,79,35,31,52,#N/A
Damian Lillard,88,94,86,89,98,98,87,88,63,89,97,95,98,96,25,85,30,38,42,94,95,94,92,87,95,80,25,69,40,45,77,72,77,55,32,51,"$29,802,321.00 "
Danilo Gallinari,78,82,84,89,98,98,60,60,66,66,95,85,75,84,45,68,66,69,85,88,76,72,76,60,65,44,69,56,37,30,68,70,62,65,37,69,"$22,615,559.00 "
De’Aaron Fox,82,84,74,72,80,90,97,97,46,84,96,90,80,85,25,80,25,30,27,79,90,86,88,97,87,84,34,79,70,56,86,77,77,70,37,57,#N/A
Deandre Ayton,91,71,60,75,97,90,75,65,82,82,90,76,81,79,90,75,82,75,82,80,82,53,60,55,70,42,78,49,38,81,61,78,69,65,85,89,"$9,562,920.00 "
DeAndre Jordan,74,25,25,68,65,40,65,53,94,83,92,95,94,57,97,92,54,40,61,69,90,25,30,33,66,51,85,57,35,78,62,85,60,80,78,97,"$9,881,598.00 "
Dejounte Murray,75,88,80,79,75,70,82,81,40,60,80,85,80,86,40,65,40,48,49,58,88,82,86,82,82,71,43,89,96,47,93,85,88,85,51,76,"$2,321,735.00 "
