rating,height,weight,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
78,1.91,97.5,2008,1,7,55.0,26.0,2.850071428571429,15.0,35.0,26.72624105698857,6,0,0,0,0,0,1,0,1,0
72,1.91,88.5,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,24.259203420958855,2,0,0,0,0,0,1,0,0,1
72,1.98,95.3,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,29.0,24.308744005713702,3,0,0,0,0,0,0,1,1,0
76,1.93,81.6,2018,1,26,583.257281553398,198.99757281553397,2.850071428571429,5.0,26.0,21.90662836586217,6,0,0,0,0,0,1,0,1,0
69,1.96,99.8,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,28.0,25.978758850478968,1,0,0,0,0,0,1,0,1,0
90,2.11,112.5,2015,1,1,0.0,105.0,0.281,8.0,28.0,25.26897419195436,6,0,0,0,1,0,0,0,1,0
73,1.93,86.2,2017,1,8,583.257281553398,198.99757281553397,2.850071428571429,6.0,25.0,23.14156084727107,1,0,0,0,0,0,1,0,0,1
76,2.13,104.8,2015,1,9,112.5,29.0,2.850071428571429,8.0,30.0,23.099473208578548,1,0,0,0,1,0,0,0,1,0
70,2.06,112.9,2017,1,26,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,26.604769535300218,6,1,0,0,0,0,0,0,1,0
72,1.88,81.6,2015,1,14,38.5,21.0,2.850071428571429,8.0,29.0,23.087369850611136,1,0,0,0,0,0,1,0,1,0
92,1.88,88.5,2012,1,6,186.5,43.0,1.34,11.0,33.0,25.039610683567226,6,0,0,0,0,0,1,0,1,0
76,1.91,90.7,2012,1,10,75.5,23.0,2.850071428571429,11.0,31.0,24.862257065321675,6,0,0,0,0,0,1,0,1,0
73,1.93,86.2,2018,2,42,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,23.14156084727107,2,0,0,0,0,0,1,0,1,0
83,2.13,108.9,2017,1,7,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,24.00317397341798,2,0,0,0,1,0,0,0,0,1
87,1.83,93.0,2006,1,24,561.0,162.0,0.589,17.0,37.0,27.77031263997133,6,0,0,0,0,0,1,0,1,0
85,2.06,111.6,2007,1,3,136.0,71.0,0.253,16.0,37.0,26.298425864831746,6,0,1,0,0,0,0,0,0,1
