rating,height,weight,salary,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
81,2.03,99.8,0.43326519715328127,2014,1,4,42.5,16.0,2.850071428571429,9.0,28.0,24.218010628746153,4,0,0,1,0,0,0,0,1,0
73,1.83,83.9,0.04787128266654153,2018,1,23,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,25.05300247842575,2,0,0,0,0,0,1,0,1,0
70,1.96,102.1,0.03429885998909361,2016,2,58,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,26.57746772178259,6,0,0,1,0,0,0,0,0,1
71,1.96,109.3,0.02077367007729511,2019,2,42,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,28.45168679716785,6,0,0,1,0,0,0,0,1,0
85,2.06,111.6,0.6111832406951562,2007,1,3,136.0,71.0,0.253,16.0,37.0,26.298425864831746,6,0,1,0,0,0,0,0,0,1
73,1.98,88.5,0.04963910012309821,2011,1,12,10.0,15.0,2.850071428571429,12.0,32.0,22.574227119681666,6,0,0,0,0,0,1,0,1,0
71,2.08,97.5,0.018550012698179175,2019,2,39,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,22.53605769230769,6,0,0,1,0,0,0,0,0,1
73,1.96,84.4,0.0590409570617861,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,21.97001249479384,6,0,0,0,0,0,1,0,1,0
77,2.13,102.1,0.08987345686071883,2013,1,5,10.5,6.0,2.850071428571429,10.0,30.0,22.50435319270868,3,1,0,0,0,0,0,0,0,1
77,2.03,97.5,0.2013515306018246,2010,1,8,33.0,9.0,2.850071428571429,13.0,33.0,23.65988012327405,4,0,0,1,0,0,0,0,0,1
72,2.03,97.5,0.051212235490498935,2015,0,0,583.257281553398,198.99757281553397,2.850071428571429,8.0,31.0,23.65988012327405,6,0,0,1,0,0,0,0,1,0
70,2.01,91.2,0.02988898157104313,2018,2,50,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,22.573698670824985,2,0,0,1,0,0,0,0,1,0
73,1.96,89.4,0.3885432028704576,2013,2,31,11.5,9.0,2.850071428571429,10.0,31.0,23.271553519366933,1,0,0,0,0,0,0,1,1,0
