Rk,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-SF
262,32,19,2,17.8,2.8,5.5,0.519,0.7,1.9,0.351,2.2,3.5,0.612,0.582,0.6,0.8,0.8,1.2,4.1,5.3,0.7,0.2,0.4,0.5,2.4,7.0,0,0,1,0,0,0,0,0,0,0
475,29,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1.0,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6.0,0,0,0,0,0,0,0,0,1,0
343,26,75,23,20.5,3.5,7.5,0.466,0.9,2.8,0.321,2.6,4.7,0.552,0.526,2.6,3.2,0.802,1.2,3.9,5.1,1.2,0.4,0.4,1.0,1.6,10.5,0,0,1,0,0,0,0,0,0,0
98,28,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0
87,32,57,57,33.9,7.0,14.5,0.48,0.5,2.0,0.233,6.5,12.5,0.52,0.496,6.9,8.0,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,21.4,0,0,0,0,0,0,1,0,0,0
183,30,4,0,14.5,1.3,3.3,0.385,0.5,2.0,0.25,0.8,1.3,0.6,0.462,0.0,0.0,0.0,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0,0,0,0,0,0,0,0,0,1,0
439,27,58,12,22.0,4.1,10.1,0.409,1.2,3.6,0.336,2.9,6.5,0.449,0.469,1.3,1.5,0.843,0.4,2.6,3.0,4.9,0.7,0.3,1.8,2.1,10.8,0,0,0,0,1,0,0,0,0,0
315,26,2,0,7.5,0.5,2.5,0.2,0.0,0.5,0.0,0.5,2.0,0.25,0.2,1.0,1.5,0.667,1.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,2.0,1,0,0,0,0,0,0,0,0,0
206,31,67,8,16.2,2.4,4.9,0.486,0.5,1.9,0.266,1.9,3.0,0.621,0.537,1.2,1.4,0.871,1.2,3.0,4.2,0.9,0.6,0.4,0.9,2.4,6.4,0,0,1,0,0,0,0,0,0,0
315,26,15,0,6.9,0.9,1.8,0.481,0.0,0.3,0.0,0.9,1.5,0.591,0.481,0.3,0.4,0.667,0.9,1.1,1.9,0.6,0.2,0.2,0.0,0.6,2.0,1,0,0,0,0,0,0,0,0,0
